Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,0.6813623707789284,0.32
1.0,2.0,0.6688890572425477,0.32
1.0,3.0,0.643294263854308,0.34
1.0,4.0,0.6198210847676304,0.35
1.0,5.0,0.585388147804165,0.38
1.0,6.0,0.5547079927607601,0.38
1.0,7.0,0.5270256902545467,0.41
1.0,8.0,0.5003571853304697,0.41
1.0,9.0,0.4753401321471388,0.45
1.0,10.0,0.45905580807094254,0.46
1.0,11.0,0.45168707307711076,0.47
1.0,12.0,0.45033008067372077,0.48
1.0,13.0,0.45240890401154416,0.5
1.0,14.0,0.45544818855011954,0.5
1.0,15.0,0.46068798751228857,0.5
1.0,16.0,0.46710791304345306,0.5
1.0,17.0,0.4711219326992891,0.5
1.0,18.0,0.47319531746024324,0.5
1.0,19.0,0.4719124745282092,0.5
1.0,20.0,0.4694445962380033,0.5
1.0,21.0,0.46988431015009946,0.5
1.0,22.0,0.4713713668051671,0.5
1.0,23.0,0.47187653733803436,0.5
1.0,24.0,0.4737233203886562,0.5
1.0,25.0,0.4750445682643536,0.5
1.0,26.0,0.4751058000578143,0.5
1.0,27.0,0.47410387390349146,0.5
1.0,28.0,0.47129433645013696,0.5
1.0,29.0,0.46897001357231555,0.5
1.0,30.0,0.4660753174491578,0.49
1.0,31.0,0.46402484733471144,0.49
1.0,32.0,0.4628439080182898,0.48
1.0,33.0,0.4616901908152637,0.47
1.0,34.0,0.4613997545307405,0.46
1.0,35.0,0.46125864895273094,0.46
1.0,36.0,0.4616124211307627,0.46
1.0,37.0,0.4626843397722734,0.45
1.0,38.0,0.4636490557972607,0.45
1.0,39.0,0.46457147316921993,0.45
1.0,40.0,0.46531053185130794,0.46
1.0,41.0,0.4660541297399021,0.47
1.0,42.0,0.4668328869844161,0.47
1.0,43.0,0.46554013834967534,0.49
1.0,44.0,0.464690200979933,0.49
1.0,45.0,0.4625791965795076,0.49
1.0,46.0,0.4592309312092615,0.49
1.0,47.0,0.45688469200570203,0.48
1.0,48.0,0.4548406029089914,0.47
1.0,49.0,0.45329219648942204,0.47
1.0,50.0,0.4520756124798039,0.47
1.0,51.0,0.4533394093312703,0.47
1.0,52.0,0.4566192866961463,0.45
1.0,53.0,0.46064548841224784,0.46
1.0,54.0,0.4663714585567176,0.46
1.0,55.0,0.4702283108859597,0.46
1.0,56.0,0.4733815320251045,0.46
1.0,57.0,0.4746915438920111,0.46
1.0,58.0,0.47474078674311343,0.46
1.0,59.0,0.47441594689947925,0.46
1.0,60.0,0.47353338653671495,0.46
1.0,61.0,0.47368980375803005,0.46
1.0,62.0,0.47403835253561666,0.45
1.0,63.0,0.47664445313821885,0.45
1.0,64.0,0.478781631523843,0.45
1.0,65.0,0.4811752686606179,0.45
1.0,66.0,0.483744768626175,0.44
1.0,67.0,0.48483954124033213,0.44
1.0,68.0,0.48331557114250556,0.45
1.0,69.0,0.4846982270355296,0.45
1.0,70.0,0.4861301814351918,0.44
1.0,71.0,0.48315004603424544,0.45
1.0,72.0,0.4796883316099545,0.45
1.0,73.0,0.477743398499481,0.45
1.0,74.0,0.47569782495711965,0.45
1.0,75.0,0.4726318308193931,0.45
1.0,76.0,0.47034262191667986,0.45
