Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,0.5669977808067149,0.35
1.0,2.0,0.5471092888330643,0.37
1.0,3.0,0.5287528745681709,0.38
1.0,4.0,0.512842873625814,0.39
1.0,5.0,0.4982489728120396,0.42
1.0,6.0,0.4925619265749684,0.43
1.0,7.0,0.48686574055117543,0.43
1.0,8.0,0.4805382108593372,0.43
1.0,9.0,0.4746034686129597,0.43
1.0,10.0,0.4674208858913908,0.44
1.0,11.0,0.45916707915546773,0.44
1.0,12.0,0.4494747581097373,0.45
1.0,13.0,0.4388156225674408,0.46
1.0,14.0,0.4259378563483733,0.46
1.0,15.0,0.4112593859601244,0.46
1.0,16.0,0.3916298205259751,0.46
1.0,17.0,0.37273937527037804,0.46
1.0,18.0,0.35830940070392625,0.46
1.0,19.0,0.3506481669734137,0.46
1.0,20.0,0.34636394994408765,0.44
1.0,21.0,0.3447127433239366,0.41
1.0,22.0,0.3484908876837223,0.41
1.0,23.0,0.35305841234903745,0.4
1.0,24.0,0.35949259578914283,0.4
1.0,25.0,0.36513930994700455,0.4
1.0,26.0,0.3708562037663773,0.39
1.0,27.0,0.38396690446992926,0.35
1.0,28.0,0.38634774353695106,0.35
1.0,29.0,0.3740347800195611,0.38
1.0,30.0,0.3616548249873871,0.38
1.0,31.0,0.3571244020797265,0.38
1.0,32.0,0.35205342115981275,0.38
1.0,33.0,0.3467368069164654,0.38
1.0,34.0,0.3437142989120182,0.38
1.0,35.0,0.3419826123308743,0.4
1.0,36.0,0.3402642974345015,0.42
1.0,37.0,0.3407289627447733,0.45
1.0,38.0,0.3408877852685311,0.44
1.0,39.0,0.34342642025354236,0.44
1.0,40.0,0.3470470942867217,0.44
1.0,41.0,0.3510324909184921,0.44
1.0,42.0,0.34428767115291087,0.44
1.0,43.0,0.33694901558982754,0.45
1.0,44.0,0.3338732237269422,0.46
1.0,45.0,0.3336152114188425,0.46
1.0,46.0,0.3375671829700796,0.46
1.0,47.0,0.34383340725665734,0.45
1.0,48.0,0.35177542128842243,0.46
1.0,49.0,0.36095644797532134,0.47
1.0,50.0,0.37002263239483696,0.48
1.0,51.0,0.37770836408346237,0.48
1.0,52.0,0.3829712814110128,0.48
1.0,53.0,0.3861489833152683,0.47
1.0,54.0,0.3886685635379798,0.46
1.0,55.0,0.3863343149852889,0.46
1.0,56.0,0.3780405519498113,0.46
