Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,2.266155525887914,0.35714285714285715
1.0,2.0,2.1032565306494586,0.35714285714285715
1.0,3.0,1.918360677430703,0.35714285714285715
1.0,4.0,1.7428141578449927,0.35714285714285715
1.0,5.0,1.5660932529253835,0.35714285714285715
1.0,6.0,1.3989588953321939,0.35714285714285715
1.0,7.0,1.2730118670925261,0.35714285714285715
1.0,8.0,1.160143931467859,0.35714285714285715
1.0,9.0,1.0558125031680627,0.35714285714285715
1.0,10.0,0.9631628743309925,0.625
1.0,11.0,0.9012433655077704,0.6428571428571429
1.0,12.0,0.872038040688083,0.6428571428571429
1.0,13.0,0.8792834126311582,0.6428571428571429
1.0,14.0,0.9057245760441567,0.6428571428571429
1.0,15.0,0.9334285371650412,0.6428571428571429
1.0,16.0,0.9587544460037444,0.6428571428571429
1.0,17.0,0.9769495026558018,0.6428571428571429
1.0,18.0,0.9789575832575053,0.6428571428571429
1.0,19.0,0.9889948196592534,0.6428571428571429
1.0,20.0,0.9897879095335765,0.6428571428571429
1.0,21.0,0.9747876888755399,0.6428571428571429
1.0,22.0,0.9697611636457725,0.6428571428571429
1.0,23.0,0.958909433665603,0.6428571428571429
1.0,24.0,0.9445014521352535,0.6428571428571429
1.0,25.0,0.9335763227598103,0.6428571428571429
1.0,26.0,0.9260458955368923,0.6428571428571429
1.0,27.0,0.9118321440977085,0.6428571428571429
1.0,28.0,0.8958195953547796,0.6428571428571429
1.0,29.0,0.8866230308690918,0.6428571428571429
1.0,30.0,0.8785661942873836,0.6428571428571429
1.0,31.0,0.8747655519940863,0.6428571428571429
1.0,32.0,0.8773954737862693,0.6428571428571429
1.0,33.0,0.8878742005661479,0.6428571428571429
1.0,34.0,0.9029010522645504,0.6428571428571429
1.0,35.0,0.9235984593344563,0.8035714285714286
1.0,36.0,0.9435384245902841,0.8928571428571429
1.0,37.0,0.9601800405824499,0.6428571428571429
1.0,38.0,0.9785182996801776,0.5
1.0,39.0,0.9982596160214738,0.375
1.0,40.0,1.011200397284347,0.35714285714285715
1.0,41.0,1.0168593426546382,0.35714285714285715
1.0,42.0,1.0011758781421312,0.375
1.0,43.0,0.9829887244226232,0.42857142857142855
1.0,44.0,0.9636805104755223,0.625
1.0,45.0,0.9444242903121449,0.8035714285714286
1.0,46.0,0.9265447970049908,0.8571428571428571
1.0,47.0,0.9109231184857053,0.6607142857142857
1.0,48.0,0.9051105235889428,0.6428571428571429
1.0,49.0,0.9029831864117945,0.6428571428571429
1.0,50.0,0.9033352957911017,0.6428571428571429
1.0,51.0,0.8986598700090309,0.6428571428571429
1.0,52.0,0.8905299711599448,0.6428571428571429
1.0,53.0,0.8863173953217958,0.6428571428571429
1.0,54.0,0.882629613640911,0.6428571428571429
1.0,55.0,0.8794116234781374,0.6428571428571429
1.0,56.0,0.8787345735327722,0.6428571428571429
1.0,57.0,0.8758002131426165,0.6428571428571429
1.0,58.0,0.8707494881628742,0.6428571428571429
1.0,59.0,0.8680834405772186,0.6428571428571429
1.0,60.0,0.8686079223558275,0.6428571428571429
1.0,61.0,0.870856107531867,0.6428571428571429
