Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,1.1171544654926273,0.62
1.0,2.0,1.1177381630944185,0.6
1.0,3.0,1.1202231038785055,0.6
1.0,4.0,1.1283038404531502,0.6
1.0,5.0,1.136723555613891,0.58
1.0,6.0,1.142943446299494,0.58
1.0,7.0,1.1532593738087757,0.6
1.0,8.0,1.1702303895518498,0.54
1.0,9.0,1.1987934448613058,0.54
1.0,10.0,1.2188639354506863,0.54
1.0,11.0,1.2241727237183313,0.54
1.0,12.0,1.2233729815087364,0.54
1.0,13.0,1.21642052641886,0.54
1.0,14.0,1.2054767853485349,0.54
1.0,15.0,1.1817674629300912,0.54
1.0,16.0,1.1694325224230822,0.54
1.0,17.0,1.1562393487326237,0.6
1.0,18.0,1.1457354278125367,0.58
1.0,19.0,1.1370533867434212,0.56
1.0,20.0,1.1260202647706155,0.6
1.0,21.0,1.119169224705078,0.58
1.0,22.0,1.117534854624274,0.6
1.0,23.0,1.116498178785292,0.66
1.0,24.0,1.116357949766679,0.66
1.0,25.0,1.1165349172872148,0.66
1.0,26.0,1.1160856771278653,0.66
1.0,27.0,1.116600179907524,0.6
1.0,28.0,1.1197925202276147,0.6
1.0,29.0,1.123103391574637,0.6
1.0,30.0,1.123861559729976,0.58
1.0,31.0,1.1220092129684038,0.6
1.0,32.0,1.11993603237093,0.6
1.0,33.0,1.1175816458329713,0.6
1.0,34.0,1.1153703907931205,0.58
1.0,35.0,1.1139553435280987,0.62
1.0,36.0,1.1132546742846243,0.66
1.0,37.0,1.1128761092647894,0.66
1.0,38.0,1.1136247371272994,0.62
1.0,39.0,1.1153060729818312,0.6
1.0,40.0,1.1161162304410426,0.6
1.0,41.0,1.1156208703082506,0.6
1.0,42.0,1.1158680465109447,0.6
1.0,43.0,1.1188349333983516,0.6
1.0,44.0,1.1223596961948403,0.6
1.0,45.0,1.128097177898573,0.6
1.0,46.0,1.1258797848392328,0.6
1.0,47.0,1.1259500475010855,0.6
1.0,48.0,1.133940400465522,0.58
1.0,49.0,1.1311033364751693,0.58
1.0,50.0,1.1309688973081502,0.58
1.0,51.0,1.1270990652062542,0.58
1.0,52.0,1.1204551285688258,0.6
1.0,53.0,1.1122719209866896,0.6
1.0,54.0,1.1057526062415972,0.58
1.0,55.0,1.1033323676211348,0.58
1.0,56.0,1.1012410192080708,0.58
1.0,57.0,1.100483593279024,0.56
1.0,58.0,1.1004340618898731,0.56
1.0,59.0,1.101498258453395,0.54
1.0,60.0,1.1015138992978784,0.54
1.0,61.0,1.1004667970852335,0.52
1.0,62.0,1.0967749468360046,0.56
1.0,63.0,1.0939321977122576,0.56
1.0,64.0,1.0916233429615763,0.56
1.0,65.0,1.0905180822931153,0.56
1.0,66.0,1.0896018769431912,0.56
1.0,67.0,1.0896744882829834,0.58
1.0,68.0,1.0892397154512419,0.58
1.0,69.0,1.087947220334279,0.58
1.0,70.0,1.086531130006159,0.58
1.0,71.0,1.0842665694372748,0.58
1.0,72.0,1.0806015038783645,0.58
1.0,73.0,1.0770048273366886,0.56
1.0,74.0,1.074830603533608,0.56
1.0,75.0,1.0727649200906437,0.56
1.0,76.0,1.0713128372625418,0.56
1.0,77.0,1.0711330775320864,0.58
1.0,78.0,1.0697461599091431,0.58
1.0,79.0,1.0658277139929981,0.56
1.0,80.0,1.0640671839507854,0.56
1.0,81.0,1.064278660025358,0.6
1.0,82.0,1.0628271343804354,0.58
1.0,83.0,1.061454091380734,0.58
1.0,84.0,1.06058907805004,0.58
1.0,85.0,1.0577812455338367,0.58
1.0,86.0,1.0533553789040013,0.58
1.0,87.0,1.0496362399936994,0.58
1.0,88.0,1.0484497254002194,0.58
1.0,89.0,1.0484830087099788,0.58
1.0,90.0,1.0475668525504145,0.58
1.0,91.0,1.0455922396239603,0.58
1.0,92.0,1.0429844273764843,0.58
1.0,93.0,1.039850912394003,0.54
1.0,94.0,1.0365470988817331,0.54
1.0,95.0,1.035689905277525,0.48
1.0,96.0,1.0382597696070184,0.52
1.0,97.0,1.0416786170040344,0.48
1.0,98.0,1.0411752980702311,0.48
1.0,99.0,1.0378999775202056,0.48
1.0,100.0,1.0340820785690976,0.48
2.0,1.0,1.1168014014192307,0.66
2.0,2.0,1.1191306378959773,0.64
2.0,3.0,1.1242810911297163,0.64
2.0,4.0,1.1281840766728266,0.64
2.0,5.0,1.1330328922637307,0.68
2.0,6.0,1.1321844087299433,0.68
2.0,7.0,1.1365897242777654,0.68
2.0,8.0,1.1425840042098805,0.68
2.0,9.0,1.1492517506903328,0.7
2.0,10.0,1.1617901445369672,0.68
2.0,11.0,1.1682687712164768,0.68
2.0,12.0,1.1790910840134068,0.7
2.0,13.0,1.1845856814595785,0.7
2.0,14.0,1.1905816551451047,0.7
2.0,15.0,1.2029495807194241,0.7
2.0,16.0,1.217785374948483,0.68
2.0,17.0,1.232267531451034,0.64
2.0,18.0,1.231219977180924,0.64
2.0,19.0,1.2120599098916838,0.7
2.0,20.0,1.1833129278318901,0.7
2.0,21.0,1.150623644860431,0.7
2.0,22.0,1.131894744451074,0.66
2.0,23.0,1.1191054887161835,0.64
2.0,24.0,1.1149648832185397,0.64
2.0,25.0,1.1166336647900572,0.64
2.0,26.0,1.1203424154372952,0.64
2.0,27.0,1.1285984174542711,0.64
2.0,28.0,1.137818035777665,0.6
2.0,29.0,1.1437219189899241,0.58
2.0,30.0,1.1442207776198072,0.56
2.0,31.0,1.1462781112954308,0.56
2.0,32.0,1.1485124489325058,0.56
2.0,33.0,1.1489928371375722,0.56
2.0,34.0,1.1471359099333622,0.56
2.0,35.0,1.1365607558114184,0.6
2.0,36.0,1.129749476345699,0.62
2.0,37.0,1.12160621192282,0.64
2.0,38.0,1.1159744495089918,0.62
2.0,39.0,1.1106481512396906,0.64
2.0,40.0,1.1081397960967483,0.64
2.0,41.0,1.1088254267788495,0.62
2.0,42.0,1.1100579294936832,0.64
2.0,43.0,1.1094894410121183,0.64
2.0,44.0,1.1107684694143487,0.66
2.0,45.0,1.114500093528253,0.64
2.0,46.0,1.1174661638577437,0.68
2.0,47.0,1.119729120982162,0.66
2.0,48.0,1.1214861395678788,0.64
2.0,49.0,1.1192226373687861,0.66
2.0,50.0,1.11734684679209,0.66
2.0,51.0,1.1159565838244057,0.68
2.0,52.0,1.1094829374746344,0.66
2.0,53.0,1.1020453613927599,0.66
2.0,54.0,1.098040913396945,0.64
2.0,55.0,1.0938997832017383,0.66
2.0,56.0,1.0917880775268969,0.64
2.0,57.0,1.0902040574390133,0.64
2.0,58.0,1.0892298809510472,0.64
2.0,59.0,1.0876533678304035,0.64
2.0,60.0,1.08699619294216,0.64
2.0,61.0,1.0855799279212968,0.64
2.0,62.0,1.0836839143406813,0.64
2.0,63.0,1.0826551699771372,0.64
2.0,64.0,1.0821211391841599,0.64
2.0,65.0,1.0845520116827816,0.62
2.0,66.0,1.093778335394368,0.62
2.0,67.0,1.1161803633901626,0.56
2.0,68.0,1.1482232656851998,0.54
2.0,69.0,1.1737834377549137,0.54
2.0,70.0,1.1846803340500514,0.56
2.0,71.0,1.182376359027909,0.56
2.0,72.0,1.169492375471198,0.54
2.0,73.0,1.1483807268814952,0.52
2.0,74.0,1.1282105709650596,0.54
2.0,75.0,1.121532279607285,0.54
2.0,76.0,1.1087090360097684,0.54
2.0,77.0,1.0956266435772013,0.54
2.0,78.0,1.0844574337372463,0.56
2.0,79.0,1.0830068632874812,0.56
2.0,80.0,1.0741272409124414,0.54
2.0,81.0,1.0681557148950942,0.54
2.0,82.0,1.0669391076178931,0.56
2.0,83.0,1.0654208849244466,0.56
2.0,84.0,1.0624556982422995,0.56
2.0,85.0,1.0545331568009666,0.56
2.0,86.0,1.0477461807422654,0.58
2.0,87.0,1.0403805891485542,0.6
2.0,88.0,1.0345158525518208,0.6
2.0,89.0,1.0320385977213753,0.6
2.0,90.0,1.0305314953412372,0.6
2.0,91.0,1.0316934160599156,0.6
2.0,92.0,1.0317322200391725,0.6
2.0,93.0,1.0283200449344063,0.6
2.0,94.0,1.0240763756024411,0.6
2.0,95.0,1.019307097148293,0.62
2.0,96.0,1.0150026626706417,0.64
2.0,97.0,1.0125983970604238,0.64
2.0,98.0,1.0118899967169608,0.64
2.0,99.0,1.0122735450533626,0.66
2.0,100.0,1.0143446066721284,0.66
3.0,1.0,1.117058743728755,0.48
3.0,2.0,1.1170516637786252,0.48
3.0,3.0,1.1171123003110877,0.46
3.0,4.0,1.1185659037639337,0.44
3.0,5.0,1.1239627868581283,0.42
3.0,6.0,1.1268943599511936,0.42
3.0,7.0,1.13397622115246,0.42
3.0,8.0,1.1380038997059212,0.42
3.0,9.0,1.1393680095493837,0.42
3.0,10.0,1.1453710269922708,0.4
3.0,11.0,1.1537494079730173,0.36
3.0,12.0,1.1578140827027872,0.38
3.0,13.0,1.1747922115895701,0.38
3.0,14.0,1.1978354216332752,0.4
3.0,15.0,1.220132460338837,0.4
3.0,16.0,1.238775809012195,0.4
3.0,17.0,1.242499861536902,0.4
3.0,18.0,1.2447276676712302,0.4
3.0,19.0,1.2447448073552745,0.4
3.0,20.0,1.243328400397566,0.4
3.0,21.0,1.2303715289038686,0.4
3.0,22.0,1.2313623424525169,0.4
3.0,23.0,1.2242765846781707,0.4
3.0,24.0,1.2146164929120984,0.4
3.0,25.0,1.1991321599261546,0.4
3.0,26.0,1.194431477423113,0.4
3.0,27.0,1.1902189724518886,0.4
3.0,28.0,1.1907666477263077,0.4
3.0,29.0,1.1805239976407802,0.4
3.0,30.0,1.1665875649557638,0.38
3.0,31.0,1.1643930175575063,0.38
3.0,32.0,1.1716139754525106,0.4
3.0,33.0,1.1736539958209784,0.4
3.0,34.0,1.16984190616616,0.4
3.0,35.0,1.164841252966737,0.38
3.0,36.0,1.153839465251914,0.38
3.0,37.0,1.148682956242656,0.4
3.0,38.0,1.1359080333213274,0.4
3.0,39.0,1.1267172021157155,0.42
3.0,40.0,1.1193110088691156,0.42
3.0,41.0,1.1148469046929843,0.44
3.0,42.0,1.1122159200447235,0.44
3.0,43.0,1.1106785189657677,0.48
3.0,44.0,1.1113996678950222,0.46
3.0,45.0,1.1143292878049986,0.48
3.0,46.0,1.1196353902385814,0.52
3.0,47.0,1.1308313328926758,0.52
3.0,48.0,1.1466448631686212,0.52
3.0,49.0,1.1573006639002927,0.52
3.0,50.0,1.1618893962183046,0.5
3.0,51.0,1.1713790698951287,0.5
3.0,52.0,1.1804130624072107,0.48
3.0,53.0,1.181526229770823,0.48
3.0,54.0,1.176087834020934,0.48
3.0,55.0,1.1689580884114357,0.5
3.0,56.0,1.1607010145201764,0.5
3.0,57.0,1.1563017013327979,0.5
3.0,58.0,1.1479585333935538,0.52
3.0,59.0,1.140562113996706,0.52
3.0,60.0,1.1422576793874148,0.52
3.0,61.0,1.1318860413790919,0.5
3.0,62.0,1.1258187390798216,0.5
3.0,63.0,1.1206313492577702,0.52
3.0,64.0,1.117518982463506,0.52
3.0,65.0,1.1120551720549403,0.5
3.0,66.0,1.1033087308756915,0.46
3.0,67.0,1.1005527314586088,0.48
3.0,68.0,1.1009393740599467,0.46
3.0,69.0,1.1008277120029664,0.44
3.0,70.0,1.099690190945755,0.46
3.0,71.0,1.0985284676206157,0.46
3.0,72.0,1.0973651556485426,0.46
3.0,73.0,1.096746920922132,0.48
3.0,74.0,1.0962892286226533,0.48
3.0,75.0,1.0957899851154562,0.48
3.0,76.0,1.095386982978538,0.48
3.0,77.0,1.0948706406653346,0.46
