Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,1.0334725926129533,0.42
1.0,2.0,1.0340841674552554,0.4
1.0,3.0,1.0348416261630704,0.42
1.0,4.0,1.0360153031683017,0.48
1.0,5.0,1.0381981161198286,0.52
1.0,6.0,1.0370744615039564,0.52
1.0,7.0,1.036144186316976,0.5
1.0,8.0,1.0346801334611706,0.5
1.0,9.0,1.0325290284754638,0.46
1.0,10.0,1.0309624497675953,0.46
1.0,11.0,1.0299017252717229,0.42
1.0,12.0,1.0292483755976498,0.42
1.0,13.0,1.0280502226805073,0.42
1.0,14.0,1.0276760653129788,0.46
1.0,15.0,1.0265782649613495,0.46
1.0,16.0,1.0260221293208511,0.46
1.0,17.0,1.0253156090918043,0.46
1.0,18.0,1.0243276509385475,0.48
1.0,19.0,1.0227566414450717,0.48
1.0,20.0,1.0218662352513352,0.48
1.0,21.0,1.0208961372258947,0.48
1.0,22.0,1.0195120667611601,0.5
1.0,23.0,1.0184283356956338,0.48
1.0,24.0,1.0176183001772527,0.5
1.0,25.0,1.0172085321528286,0.5
1.0,26.0,1.017897305315068,0.5
1.0,27.0,1.0183866528697243,0.5
1.0,28.0,1.0178503867919562,0.5
1.0,29.0,1.0180134061102708,0.5
1.0,30.0,1.0172994522224665,0.5
1.0,31.0,1.016487304678549,0.5
1.0,32.0,1.0160347380131163,0.52
1.0,33.0,1.0153682811341351,0.52
1.0,34.0,1.0162449233054491,0.5
1.0,35.0,1.0169343710608565,0.52
1.0,36.0,1.019390302097285,0.52
1.0,37.0,1.0199068684325572,0.52
1.0,38.0,1.0193000252088276,0.52
1.0,39.0,1.015835042978686,0.5
1.0,40.0,1.0129650907530465,0.46
1.0,41.0,1.0124303004213517,0.46
1.0,42.0,1.012706034942337,0.46
1.0,43.0,1.0133499730737443,0.48
1.0,44.0,1.0139194525217914,0.48
1.0,45.0,1.0136352994930553,0.46
1.0,46.0,1.0129341124811984,0.46
1.0,47.0,1.0127289636552625,0.46
1.0,48.0,1.0122995659790597,0.46
1.0,49.0,1.0114220764198119,0.44
1.0,50.0,1.0116080883443348,0.46
1.0,51.0,1.0115309551620462,0.44
1.0,52.0,1.0116306428845638,0.44
1.0,53.0,1.0106003812832636,0.44
1.0,54.0,1.0091821713027116,0.46
1.0,55.0,1.0087138243595455,0.46
1.0,56.0,1.0082679315856304,0.46
1.0,57.0,1.0081504435762139,0.46
1.0,58.0,1.0082799728404963,0.44
1.0,59.0,1.0079559406275613,0.48
1.0,60.0,1.0071605151851464,0.48
1.0,61.0,1.0068577012397801,0.48
1.0,62.0,1.0067663424176956,0.46
1.0,63.0,1.0060489846017189,0.48
1.0,64.0,1.0056720682439406,0.48
1.0,65.0,1.0054895395774057,0.48
1.0,66.0,1.0057577560252078,0.46
1.0,67.0,1.009272408342169,0.38
1.0,68.0,1.0163565681731024,0.42
1.0,69.0,1.0242706809322994,0.44
1.0,70.0,1.037311806249472,0.48
1.0,71.0,1.0514815703848153,0.48
1.0,72.0,1.0610160506802824,0.48
1.0,73.0,1.0734589406080701,0.48
1.0,74.0,1.0843401203082659,0.5
1.0,75.0,1.0835871909272654,0.48
1.0,76.0,1.077076081836619,0.46
1.0,77.0,1.0748511864945158,0.48
1.0,78.0,1.0666662102109858,0.46
1.0,79.0,1.0523588806203448,0.5
1.0,80.0,1.0412019042210534,0.46
1.0,81.0,1.0297670341052703,0.46
1.0,82.0,1.0194200404918483,0.42
1.0,83.0,1.0113867674040833,0.42
1.0,84.0,1.0060257784670068,0.44
1.0,85.0,1.003885703822545,0.44
