Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,0.8408535956122388,0.8
1.0,2.0,0.7193602254540977,0.8
1.0,3.0,0.625244642081792,1.0
1.0,4.0,0.6039777990390786,1.0
1.0,5.0,0.5989469869365415,0.7
1.0,6.0,0.574822594942028,0.7
1.0,7.0,0.5271726136854352,1.0
1.0,8.0,0.49916298810053183,1.0
2.0,1.0,0.9265918429150426,0.5
2.0,2.0,0.7936609642916104,0.5
2.0,3.0,0.719161530811283,0.7
2.0,4.0,0.6559181000363189,0.9
2.0,5.0,0.5971854018856768,1.0
2.0,6.0,0.5657003880049735,1.0
2.0,7.0,0.5583242181646093,1.0
2.0,8.0,0.5588477284679789,1.0
2.0,9.0,0.5499764800313509,1.0
2.0,10.0,0.5493730998830756,1.0
2.0,11.0,0.5340910788172855,1.0
2.0,12.0,0.5037354795848009,1.0
2.0,13.0,0.49111389757385043,1.0
3.0,1.0,1.0291596639438374,0.6
3.0,2.0,0.9001753433435242,0.6
3.0,3.0,0.76938733058065,0.6
3.0,4.0,0.664605167659428,0.8
3.0,5.0,0.6000670079325051,1.0
3.0,6.0,0.5617506530470711,1.0
3.0,7.0,0.5342807988643957,1.0
3.0,8.0,0.5075347904929276,1.0
3.0,9.0,0.4845565418677371,1.0
4.0,1.0,1.008007830791494,0.3
4.0,2.0,0.9808236751770574,0.3
4.0,3.0,0.8157682166363811,0.3
4.0,4.0,0.694415333470821,0.5
4.0,5.0,0.6124916982358197,1.0
4.0,6.0,0.5797018689894922,1.0
4.0,7.0,0.5613700073437068,1.0
4.0,8.0,0.5485068358806445,1.0
4.0,9.0,0.5326890131819976,1.0
4.0,10.0,0.513909621706762,1.0
4.0,11.0,0.4907433756840496,1.0
5.0,1.0,0.9740987391232109,0.2
5.0,2.0,0.8639720822210895,0.2
5.0,3.0,0.7511279380946772,0.2
5.0,4.0,0.662183673695656,0.6
5.0,5.0,0.6138400039219019,0.9
5.0,6.0,0.5680874908760067,0.9
5.0,7.0,0.5371248287700139,1.0
5.0,8.0,0.5157029051050052,1.0
5.0,9.0,0.5014063145050995,1.0
5.0,10.0,0.4882197667422637,1.0
6.0,1.0,0.8667803541976383,0.6
6.0,2.0,0.7055834251581641,0.8
6.0,3.0,0.626073386216843,1.0
6.0,4.0,0.6026837264527579,1.0
6.0,5.0,0.6019003058831267,0.7
6.0,6.0,0.6246592193938523,0.5
6.0,7.0,0.5766778730516068,0.6
6.0,8.0,0.5303968369524591,1.0
6.0,9.0,0.4878249993102964,1.0
7.0,1.0,0.9247966186082686,0.4
7.0,2.0,0.7241594270163616,0.4
7.0,3.0,0.6213247856592339,1.0
7.0,4.0,0.632701770179577,0.8
7.0,5.0,0.65411821686595,0.6
7.0,6.0,0.6589384777191332,0.6
7.0,7.0,0.5803703630922267,0.6
7.0,8.0,0.49716993778550456,1.0
8.0,1.0,0.9628205211672978,0.6
8.0,2.0,0.8583119955772023,0.6
8.0,3.0,0.6946936278951102,0.7
8.0,4.0,0.6155243502879659,1.0
8.0,5.0,0.5912809888550196,1.0
8.0,6.0,0.5801506509328133,1.0
8.0,7.0,0.5891768835404192,0.7
8.0,8.0,0.5847462166818101,0.6
8.0,9.0,0.5621813702563653,0.6
8.0,10.0,0.5027607692383192,1.0
8.0,11.0,0.4433208977383964,1.0
9.0,1.0,1.0791098167489486,0.5
9.0,2.0,0.9307480008852284,0.5
9.0,3.0,0.7157195615529119,0.6
9.0,4.0,0.6341813002809187,1.0
9.0,5.0,0.5779785966814638,1.0
9.0,6.0,0.54853222145174,1.0
9.0,7.0,0.5200875966556138,1.0
9.0,8.0,0.4960256075015554,1.0
10.0,1.0,0.8955439110586694,0.5
10.0,2.0,0.7731729247499546,0.5
10.0,3.0,0.6750566986980527,0.9
10.0,4.0,0.602129425719506,1.0
10.0,5.0,0.632513862697256,0.8
10.0,6.0,0.6943162240119236,0.5
10.0,7.0,0.6444097740789752,0.5
10.0,8.0,0.5732463087848222,0.8
10.0,9.0,0.487592994412253,1.0
