Cross iteration,Iteration,Cost,Accuracy
1.0,1.0,0.8102208330757995,0.6
1.0,2.0,0.7488476250625308,0.7
1.0,3.0,0.6715379949028254,0.8
1.0,4.0,0.6030574127546859,0.9
1.0,5.0,0.5394614891181085,0.9
1.0,6.0,0.4873487418493236,1.0
1.0,7.0,0.44665880819516024,1.0
1.0,8.0,0.40754683740521025,1.0
1.0,9.0,0.3704338833596534,1.0
1.0,10.0,0.333880371939284,1.0
1.0,11.0,0.2978748424391863,1.0
2.0,1.0,0.7827196936316985,0.5
2.0,2.0,0.7401810400504557,0.5
2.0,3.0,0.6855617182077393,0.7
2.0,4.0,0.6190269085208484,0.9
2.0,5.0,0.546725796389786,0.9
2.0,6.0,0.47695660268522744,1.0
2.0,7.0,0.4130869113934063,1.0
2.0,8.0,0.3585893203183247,1.0
2.0,9.0,0.3112015423489395,1.0
2.0,10.0,0.2719161009211426,1.0
3.0,1.0,0.7695073879479688,0.9
3.0,2.0,0.7258103257126016,0.9
3.0,3.0,0.6682509981152265,0.9
3.0,4.0,0.603958267157475,0.9
3.0,5.0,0.5403305548582112,0.9
3.0,6.0,0.4701636051020908,0.9
3.0,7.0,0.40506787006708883,0.9
3.0,8.0,0.3466505902874761,0.9
3.0,9.0,0.2987215662896939,1.0
4.0,1.0,0.8212137466647852,0.9
4.0,2.0,0.7582841912509896,0.9
4.0,3.0,0.6829422410826405,0.9
4.0,4.0,0.6051982401299998,0.9
4.0,5.0,0.528974052831697,1.0
4.0,6.0,0.4545943059616704,1.0
4.0,7.0,0.38711029328587016,1.0
4.0,8.0,0.3336239487654085,1.0
4.0,9.0,0.29378845452819724,0.9
4.0,10.0,0.2638710085832246,0.9
4.0,11.0,0.24248676600574876,0.9
4.0,12.0,0.2271393760417866,0.9
4.0,13.0,0.21601906146798747,0.9
4.0,14.0,0.2075244735299136,0.9
4.0,15.0,0.20192443539877278,0.9
4.0,16.0,0.19815745309584018,0.9
4.0,17.0,0.19691455943239775,0.9
4.0,18.0,0.19257398130034853,0.9
4.0,19.0,0.18804522936978377,0.9
4.0,20.0,0.1803445003939842,0.9
4.0,21.0,0.1743678617417607,0.9
4.0,22.0,0.16876677498146403,0.9
4.0,23.0,0.16272929150038665,0.9
4.0,24.0,0.1559165563424091,0.9
4.0,25.0,0.1498638146746911,0.9
4.0,26.0,0.14365479561165992,0.9
4.0,27.0,0.13887108377490803,0.9
4.0,28.0,0.13392488033100663,0.9
4.0,29.0,0.1300933378923384,0.9
4.0,30.0,0.126452188709938,0.9
4.0,31.0,0.12249079952180825,0.9
4.0,32.0,0.11927171868193769,0.9
4.0,33.0,0.11665576029205232,0.9
4.0,34.0,0.11416861109403008,0.9
4.0,35.0,0.11176730412385347,1.0
5.0,1.0,0.7895184897601214,0.8
5.0,2.0,0.7415957089175517,0.8
5.0,3.0,0.6842801469406719,0.8
5.0,4.0,0.6224149643215664,0.9
5.0,5.0,0.5507491374608572,1.0
5.0,6.0,0.48122012163340694,1.0
5.0,7.0,0.4170764812170229,1.0
5.0,8.0,0.36438528179260005,1.0
5.0,9.0,0.32194946726608475,1.0
5.0,10.0,0.28923711867031593,1.0
6.0,1.0,0.7824946262747428,0.8
6.0,2.0,0.7258824028040999,0.9
6.0,3.0,0.6579826954537902,0.9
6.0,4.0,0.5858211800535389,1.0
6.0,5.0,0.5155282789711628,1.0
6.0,6.0,0.4459914342708582,1.0
6.0,7.0,0.3834085055483334,1.0
6.0,8.0,0.33316664845366617,1.0
6.0,9.0,0.2942416818071791,1.0
7.0,1.0,0.7857954915631992,0.7
7.0,2.0,0.7453813655129495,0.8
7.0,3.0,0.6963406610021423,0.8
7.0,4.0,0.6394672886422044,0.8
7.0,5.0,0.5795887244618794,0.8
7.0,6.0,0.510578570302581,0.9
7.0,7.0,0.44773213536837914,1.0
7.0,8.0,0.38913295804347264,1.0
7.0,9.0,0.3431823307078765,1.0
7.0,10.0,0.3053981958757996,1.0
7.0,11.0,0.27322867140099427,1.0
8.0,1.0,0.8073381240964901,0.8
8.0,2.0,0.7633007380680984,0.8
8.0,3.0,0.6871490266868479,0.8
8.0,4.0,0.6012305445325471,1.0
8.0,5.0,0.5257501479961563,1.0
8.0,6.0,0.4612487468001551,1.0
8.0,7.0,0.4115740106282807,1.0
8.0,8.0,0.36573369459215266,1.0
8.0,9.0,0.33204411894232416,1.0
8.0,10.0,0.2999045872335525,1.0
9.0,1.0,0.7561192204871962,0.8
9.0,2.0,0.7033686267633624,0.9
9.0,3.0,0.6354297144198182,0.9
9.0,4.0,0.5680424287698519,0.9
9.0,5.0,0.49768408986087675,0.9
9.0,6.0,0.4268394264720673,0.9
9.0,7.0,0.36748467404489504,1.0
9.0,8.0,0.3201170596751998,1.0
9.0,9.0,0.2836224013841559,1.0
10.0,1.0,0.7774689724176145,0.9
10.0,2.0,0.729025749689859,0.9
10.0,3.0,0.6571752492026032,1.0
10.0,4.0,0.5843370352236074,1.0
10.0,5.0,0.5122276455298216,1.0
10.0,6.0,0.44565424701078077,1.0
10.0,7.0,0.38490994783368715,1.0
10.0,8.0,0.33720820617678554,1.0
10.0,9.0,0.2984489768819732,1.0
